 0.00000	     0	  1569.88
 0.00000	     1	  1441.28
 0.00000	     2	  1356.44
 0.00000	     3	  1280.40
 0.00000	     4	  1213.29
 0.00000	     5	  1157.08
 0.00000	     6	  1107.36
 0.00000	     7	  1048.65
 0.00000	     8	  1004.48
 0.00000	     9	   963.35
 0.00000	    10	   924.89
 0.00000	    11	   891.59
 0.00000	    12	   860.09
 0.00000	    13	   831.21
 0.00000	    14	   805.09
 0.00000	    15	   780.22
 0.00000	    16	   763.25
 0.00000	    17	   746.95
 0.00000	    18	   731.06
 0.00000	    19	   717.50
 0.00000	    20	   704.44
 0.00000	    21	   692.26
 0.00000	    22	   681.88
 0.00000	    23	   671.53
 0.00000	    24	   662.97
 0.00000	    25	   652.90
 0.00000	    26	   645.25
 0.00000	    27	   634.60
 0.00000	    28	   626.40
 0.00000	    29	   618.88
 0.00000	    30	   611.84
 0.00000	    31	   606.35
 0.00000	    32	   602.25
 0.00000	    33	   598.19
 0.00000	    34	   592.30
 0.00000	    35	   588.87
 0.00000	    36	   586.08
 0.00000	    37	   584.13
 0.00000	    38	   582.32
 0.00000	    39	   580.15
 0.00000	    40	   571.61
 0.00000	    41	   566.50
 0.00000	    42	   562.04
 0.00000	    43	   561.83
 0.00000	    44	   561.83
